,userid,emotionIndex,index,D1U1,D1U2,D1D2,U1D2,U1U2,D1U3,D1D3,is_punctuation,is_backspace,is_enter,hour
0,100,3,822,982.0,764.0,709.0,-273.0,-218.0,-1579030000000.0,24124.0,0,0,0,19.0
1,100,3,823,55.0,-1579030000000.0,23415.0,23360.0,-1579030000000.0,-1579030000000.0,24022.0,0,0,0,19.0
2,100,3,824,-1579030000000.0,-1579030000000.0,607.0,1579030000000.0,0.0,-1579030000000.0,642.0,0,1,0,19.0
3,100,3,825,-1579030000000.0,-1579030000000.0,35.0,1579030000000.0,0.0,-1579030000000.0,77.0,0,1,0,19.0
4,100,3,826,-1579030000000.0,-1579030000000.0,42.0,1579030000000.0,0.0,-1579030000000.0,79.0,0,1,0,19.0
5,100,3,827,-1579030000000.0,-1579030000000.0,37.0,1579030000000.0,0.0,-1579030000000.0,74.0,0,1,0,19.0
6,100,3,828,-1579030000000.0,-1579030000000.0,37.0,1579030000000.0,0.0,-1579030000000.0,73.0,0,1,0,19.0
7,100,3,829,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,74.0,0,1,0,19.0
8,100,3,830,-1579030000000.0,-1579030000000.0,38.0,1579030000000.0,0.0,-1579030000000.0,74.0,0,1,0,19.0
9,100,3,831,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,73.0,0,1,0,19.0
10,100,3,832,-1579030000000.0,-1579030000000.0,37.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,1,0,19.0
11,100,3,833,-1579030000000.0,-1579030000000.0,38.0,1579030000000.0,0.0,-1579030000000.0,74.0,0,1,0,19.0
12,100,3,834,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,72.0,0,1,0,19.0
13,100,3,835,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,76.0,0,1,0,19.0
14,100,3,836,-1579030000000.0,-1579030000000.0,40.0,1579030000000.0,0.0,-1579030000000.0,77.0,0,1,0,19.0
15,100,3,837,-1579030000000.0,-1579030000000.0,37.0,1579030000000.0,0.0,-1579030000000.0,77.0,0,1,0,19.0
16,100,3,838,-1579030000000.0,-1579030000000.0,40.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,1,0,19.0
17,100,3,839,-1579030000000.0,-1579030000000.0,35.0,1579030000000.0,0.0,-1579030000000.0,73.0,0,1,0,19.0
18,100,3,840,-1579030000000.0,-1579030000000.0,38.0,1579030000000.0,0.0,-1579030000000.0,81.0,0,1,0,19.0
19,100,3,841,-1579030000000.0,-1579030000000.0,43.0,1579030000000.0,0.0,-1579030000000.0,79.0,0,1,0,19.0
20,100,3,842,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,76.0,0,1,0,19.0
21,100,3,843,-1579030000000.0,-1579030000000.0,40.0,1579030000000.0,0.0,-1579030000000.0,74.0,0,1,0,19.0
22,100,3,844,-1579030000000.0,-1579030000000.0,34.0,1579030000000.0,0.0,-1579030000000.0,72.0,0,1,0,19.0
23,100,3,845,-1579030000000.0,-1579030000000.0,38.0,1579030000000.0,0.0,-1579030000000.0,79.0,0,1,0,19.0
24,100,3,846,-1579030000000.0,-1579030000000.0,41.0,1579030000000.0,0.0,-1579030000000.0,77.0,0,1,0,19.0
25,100,3,847,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,72.0,0,1,0,19.0
26,100,3,848,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,71.0,0,1,0,19.0
27,100,3,849,-1579030000000.0,-1579030000000.0,35.0,1579030000000.0,0.0,-1579030000000.0,74.0,0,1,0,19.0
28,100,3,850,-1579030000000.0,-1579030000000.0,39.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,1,0,19.0
29,100,3,851,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,72.0,0,1,0,19.0
30,100,3,852,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,76.0,0,1,0,19.0
31,100,3,853,-1579030000000.0,-1579030000000.0,40.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,1,0,19.0
32,100,3,854,-1579030000000.0,-1579030000000.0,35.0,1579030000000.0,0.0,-1579030000000.0,71.0,0,1,0,19.0
33,100,3,855,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,78.0,0,1,0,19.0
34,100,3,856,-1579030000000.0,-1579030000000.0,42.0,1579030000000.0,0.0,-1579030000000.0,78.0,0,1,0,19.0
35,100,3,857,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,72.0,0,1,0,19.0
36,100,3,858,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,73.0,0,1,0,19.0
37,100,3,859,-1579030000000.0,-1579030000000.0,37.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,1,0,19.0
38,100,3,860,-1579030000000.0,-1579030000000.0,38.0,1579030000000.0,0.0,-1579030000000.0,77.0,0,1,0,19.0
39,100,3,861,-1579030000000.0,-1579030000000.0,39.0,1579030000000.0,0.0,-1579030000000.0,76.0,0,1,0,19.0
40,100,3,862,-1579030000000.0,-1579030000000.0,37.0,1579030000000.0,0.0,-1579030000000.0,77.0,0,1,0,19.0
41,100,3,863,-1579030000000.0,-1579030000000.0,40.0,1579030000000.0,0.0,-1579030000000.0,76.0,0,1,0,19.0
42,100,3,864,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,72.0,0,1,0,19.0
43,100,3,865,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,76.0,0,1,0,19.0
44,100,3,866,-1579030000000.0,-1579030000000.0,40.0,1579030000000.0,0.0,-1579030000000.0,77.0,0,1,0,19.0
45,100,3,867,-1579030000000.0,-1579030000000.0,37.0,1579030000000.0,0.0,-1579030000000.0,73.0,0,1,0,19.0
46,100,3,868,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,72.0,0,1,0,19.0
47,100,3,869,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,74.0,0,1,0,19.0
48,100,3,870,-1579030000000.0,-1579030000000.0,38.0,1579030000000.0,0.0,-1579030000000.0,79.0,0,1,0,19.0
49,100,3,871,-1579030000000.0,-1579030000000.0,41.0,1579030000000.0,0.0,-1579030000000.0,77.0,0,1,0,19.0
50,100,3,872,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,77.0,0,1,0,19.0
51,100,3,873,-1579030000000.0,-1579030000000.0,41.0,1579030000000.0,0.0,-1579030000000.0,77.0,0,1,0,19.0
52,100,3,874,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,78.0,0,1,0,19.0
53,100,3,875,-1579030000000.0,-1579030000000.0,42.0,1579030000000.0,0.0,-1579030000000.0,82.0,0,1,0,19.0
54,100,3,876,-1579030000000.0,-1579030000000.0,40.0,1579030000000.0,0.0,-1579030000000.0,76.0,0,1,0,19.0
55,100,3,877,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,76.0,0,1,0,19.0
56,100,3,878,-1579030000000.0,-1579030000000.0,40.0,1579030000000.0,0.0,-1579030000000.0,76.0,0,1,0,19.0
57,100,3,879,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,74.0,0,1,0,19.0
58,100,3,880,-1579030000000.0,-1579030000000.0,38.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,1,0,19.0
59,100,3,881,-1579030000000.0,-1579030000000.0,37.0,1579030000000.0,0.0,-1579030000000.0,73.0,0,1,0,19.0
60,100,3,882,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,77.0,0,1,0,19.0
61,100,3,883,-1579030000000.0,-1579030000000.0,41.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,1,0,19.0
62,100,3,884,-1579030000000.0,-1579030000000.0,34.0,1579030000000.0,0.0,-1579030000000.0,70.0,0,1,0,19.0
63,100,3,885,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,76.0,0,1,0,19.0
64,100,3,886,-1579030000000.0,-1579030000000.0,40.0,1579030000000.0,0.0,-1579030000000.0,77.0,0,1,0,19.0
65,100,3,887,-1579030000000.0,-1579030000000.0,37.0,1579030000000.0,0.0,-1579030000000.0,72.0,0,1,0,19.0
66,100,3,888,-1579030000000.0,-1579030000000.0,35.0,1579030000000.0,0.0,-1579030000000.0,72.0,0,1,0,19.0
67,100,3,889,-1579030000000.0,-1579030000000.0,37.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,1,0,19.0
68,100,3,890,-1579030000000.0,-1579030000000.0,38.0,1579030000000.0,0.0,-1579030000000.0,74.0,0,1,0,19.0
69,100,3,891,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,72.0,0,1,0,19.0
70,100,3,892,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,1,0,19.0
71,100,3,893,-1579030000000.0,-1579030000000.0,39.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,1,0,19.0
72,100,3,894,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,74.0,0,1,0,19.0
73,100,3,895,-1579030000000.0,-1579030000000.0,38.0,1579030000000.0,0.0,-1579030000000.0,78.0,0,1,0,19.0
74,100,3,896,-1579030000000.0,-1579030000000.0,40.0,1579030000000.0,0.0,-1579030000000.0,76.0,0,1,0,19.0
75,100,3,897,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,71.0,0,1,0,19.0
76,100,3,898,-1579030000000.0,-1579030000000.0,35.0,1579030000000.0,0.0,-1579030000000.0,71.0,0,1,0,19.0
77,100,3,899,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,82.0,74.0,0,1,0,19.0
78,100,3,900,-1579030000000.0,46.0,38.0,1579030000000.0,1579030000000.0,-1579030000000.0,178.0,0,1,0,19.0
79,100,3,901,8.0,-1579030000000.0,140.0,132.0,-1579030000000.0,-1579030000000.0,754.0,0,1,0,19.0
80,100,3,902,-1579030000000.0,-1579030000000.0,614.0,1579030000000.0,0.0,-1579030000000.0,650.0,0,1,0,19.0
81,100,3,903,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,76.0,0,1,0,19.0
82,100,3,904,-1579030000000.0,-1579030000000.0,40.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,1,0,19.0
83,100,3,905,-1579030000000.0,-1579030000000.0,35.0,1579030000000.0,0.0,-1579030000000.0,72.0,0,1,0,19.0
84,100,3,906,-1579030000000.0,-1579030000000.0,37.0,1579030000000.0,0.0,-1579030000000.0,71.0,0,1,0,19.0
85,100,3,907,-1579030000000.0,-1579030000000.0,34.0,1579030000000.0,0.0,-1579030000000.0,71.0,0,1,0,19.0
86,100,3,908,-1579030000000.0,-1579030000000.0,37.0,1579030000000.0,0.0,-1579030000000.0,77.0,0,1,0,19.0
87,100,3,909,-1579030000000.0,-1579030000000.0,40.0,1579030000000.0,0.0,-1579030000000.0,76.0,0,1,0,19.0
88,100,3,910,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,1,0,19.0
89,100,3,911,-1579030000000.0,-1579030000000.0,39.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,1,0,19.0
90,100,3,912,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,71.0,0,1,0,19.0
91,100,3,913,-1579030000000.0,-1579030000000.0,35.0,1579030000000.0,0.0,-1579030000000.0,76.0,0,1,0,19.0
92,100,3,914,-1579030000000.0,-1579030000000.0,41.0,1579030000000.0,0.0,-1579030000000.0,77.0,0,1,0,19.0
93,100,3,915,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,71.0,0,1,0,19.0
94,100,3,916,-1579030000000.0,-1579030000000.0,35.0,1579030000000.0,0.0,-1579030000000.0,72.0,0,1,0,19.0
95,100,3,917,-1579030000000.0,-1579030000000.0,37.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,1,0,19.0
96,100,3,918,-1579030000000.0,-1579030000000.0,38.0,1579030000000.0,0.0,-1579030000000.0,79.0,0,1,0,19.0
97,100,3,919,-1579030000000.0,-1579030000000.0,41.0,1579030000000.0,0.0,-1579030000000.0,78.0,0,1,0,19.0
98,100,3,920,-1579030000000.0,-1579030000000.0,37.0,1579030000000.0,0.0,-1579030000000.0,76.0,0,1,0,19.0
99,100,3,921,-1579030000000.0,-1579030000000.0,39.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,1,0,19.0
100,100,3,922,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,78.0,0,1,0,19.0
101,100,3,923,-1579030000000.0,-1579030000000.0,42.0,1579030000000.0,0.0,-1579030000000.0,82.0,0,1,0,19.0
102,100,3,924,-1579030000000.0,-1579030000000.0,40.0,1579030000000.0,0.0,-1579030000000.0,76.0,0,1,0,19.0
103,100,3,925,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,74.0,0,1,0,19.0
104,100,3,926,-1579030000000.0,-1579030000000.0,38.0,1579030000000.0,0.0,-1579030000000.0,76.0,0,1,0,19.0
105,100,3,927,-1579030000000.0,-1579030000000.0,38.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,1,0,19.0
106,100,3,928,-1579030000000.0,-1579030000000.0,37.0,1579030000000.0,0.0,-1579030000000.0,73.0,0,1,0,19.0
107,100,3,929,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,72.0,0,1,0,19.0
108,100,3,930,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,1,0,19.0
109,100,3,931,-1579030000000.0,-1579030000000.0,39.0,1579030000000.0,0.0,-1579030000000.0,74.0,0,1,0,19.0
110,100,3,932,-1579030000000.0,-1579030000000.0,35.0,1579030000000.0,0.0,-1579030000000.0,72.0,0,1,0,19.0
111,100,3,933,-1579030000000.0,-1579030000000.0,37.0,1579030000000.0,0.0,-1579030000000.0,77.0,0,1,0,19.0
112,100,3,934,-1579030000000.0,-1579030000000.0,40.0,1579030000000.0,0.0,-1579030000000.0,77.0,0,1,0,19.0
113,100,3,935,-1579030000000.0,-1579030000000.0,37.0,1579030000000.0,0.0,-1579030000000.0,73.0,0,1,0,19.0
114,100,3,936,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,72.0,0,1,0,19.0
115,100,3,937,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,1,0,19.0
116,100,3,938,-1579030000000.0,-1579030000000.0,39.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,1,0,19.0
117,100,3,939,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,71.0,0,1,0,19.0
118,100,3,940,-1579030000000.0,-1579030000000.0,35.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,1,0,19.0
119,100,3,941,-1579030000000.0,-1579030000000.0,40.0,1579030000000.0,0.0,-1579030000000.0,77.0,0,1,0,19.0
120,100,3,942,-1579030000000.0,-1579030000000.0,37.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,1,0,19.0
121,100,3,943,-1579030000000.0,-1579030000000.0,38.0,1579030000000.0,0.0,-1579030000000.0,78.0,0,1,0,19.0
122,100,3,944,-1579030000000.0,-1579030000000.0,40.0,1579030000000.0,0.0,-1579030000000.0,76.0,0,1,0,19.0
123,100,3,945,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,71.0,0,1,0,19.0
124,100,3,946,-1579030000000.0,-1579030000000.0,35.0,1579030000000.0,0.0,96.0,73.0,0,1,0,19.0
125,100,3,947,-1579030000000.0,61.0,38.0,1579030000000.0,1579030000000.0,327.0,197.0,0,1,0,19.0
126,100,3,948,23.0,289.0,159.0,136.0,266.0,-1579030000000.0,305.0,0,1,0,19.0
127,100,3,949,130.0,-1579030000000.0,146.0,16.0,-1579030000000.0,-1579030000000.0,757.0,0,1,0,19.0
128,100,3,950,-1579030000000.0,-1579030000000.0,611.0,1579030000000.0,0.0,-1579030000000.0,646.0,0,1,0,19.0
129,100,3,951,-1579030000000.0,-1579030000000.0,35.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,1,0,19.0
130,100,3,952,-1579030000000.0,-1579030000000.0,40.0,1579030000000.0,0.0,-1579030000000.0,77.0,0,1,0,19.0
131,100,3,953,-1579030000000.0,-1579030000000.0,37.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,1,0,19.0
132,100,3,954,-1579030000000.0,-1579030000000.0,38.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,1,0,19.0
133,100,3,955,-1579030000000.0,-1579030000000.0,37.0,1579030000000.0,0.0,91.0,76.0,0,1,0,19.0
134,100,3,956,-1579030000000.0,54.0,39.0,1579030000000.0,1579030000000.0,304.0,202.0,0,1,0,19.0
135,100,3,957,15.0,265.0,163.0,148.0,250.0,459.0,355.0,0,1,0,19.0
136,100,3,958,102.0,296.0,192.0,90.0,194.0,445.0,357.0,0,1,0,19.0
137,100,3,959,104.0,253.0,165.0,61.0,149.0,421.0,334.0,0,1,0,19.0
138,100,3,960,88.0,256.0,169.0,81.0,168.0,426.0,337.0,0,1,0,19.0
139,100,3,961,87.0,257.0,168.0,81.0,170.0,423.0,332.0,0,1,0,19.0
140,100,3,962,89.0,255.0,164.0,75.0,166.0,422.0,346.0,0,1,0,19.0
141,100,3,963,91.0,258.0,182.0,91.0,167.0,434.0,337.0,0,1,0,19.0
142,100,3,964,76.0,252.0,155.0,79.0,176.0,429.0,315.0,0,1,0,19.0
143,100,3,965,97.0,274.0,160.0,63.0,177.0,506.0,382.0,0,1,0,19.0
144,100,3,966,114.0,346.0,222.0,108.0,232.0,544.0,489.0,0,1,0,19.0
145,100,3,967,124.0,322.0,267.0,143.0,198.0,2051.0,1968.0,0,1,0,19.0
148,100,2,970,1762.0,1545.0,1467.0,-295.0,-217.0,-1579030000000.0,6849.0,0,0,0,19.0
149,100,2,971,78.0,-1579030000000.0,5382.0,5304.0,-1579030000000.0,-1579030000000.0,5998.0,0,0,0,19.0
150,100,2,972,-1579030000000.0,-1579030000000.0,616.0,1579030000000.0,0.0,-1579030000000.0,654.0,0,0,0,19.0
151,100,2,973,-1579030000000.0,-1579030000000.0,38.0,1579030000000.0,0.0,-1579030000000.0,81.0,0,0,0,19.0
152,100,2,974,-1579030000000.0,-1579030000000.0,43.0,1579030000000.0,0.0,-1579030000000.0,80.0,0,0,0,19.0
153,100,2,975,-1579030000000.0,-1579030000000.0,37.0,1579030000000.0,0.0,-1579030000000.0,78.0,0,0,0,19.0
154,100,2,976,-1579030000000.0,-1579030000000.0,41.0,1579030000000.0,0.0,-1579030000000.0,77.0,0,0,0,19.0
155,100,2,977,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,0,0,19.0
156,100,2,978,-1579030000000.0,-1579030000000.0,39.0,1579030000000.0,0.0,-1579030000000.0,78.0,0,0,0,19.0
157,100,2,979,-1579030000000.0,-1579030000000.0,39.0,1579030000000.0,0.0,-1579030000000.0,75.0,0,0,0,19.0
158,100,2,980,-1579030000000.0,-1579030000000.0,36.0,1579030000000.0,0.0,-1579030000000.0,73.0,0,0,0,19.0
